Key	Spanish	English
__id	es	en
pedia.dialog.title	Enciclopedia de la ley seca	Prohibition Encyclopedia
pedia.dialog.default-text	Elige uno de los temas de la izquierda para obtener más información. Sigue los enlaces para indagar a fondo.	Select one of the topics on the left to learn more. Follow links to dig further into a topic.
pedia.dialog.entry	<b><size=120%>{name}</size></b>\n\n{desc}	<b><size=120%>{name}</size></b>\n\n{desc}
pedia.cat.resources	Recursos	Resources
pedia.cat.businesses	Tipos de negocios	Business Types
pedia.cat.skills	Habilidades	Skills
pedia.cat.gameplay	El juego	Gameplay
pedia.cat.others	Otros	Other
info.resources.name	Recursos	Resources
info.resources.desc	"Los productos que puedes comprar y vender y usar en la producción y construcción. Existen diferentes tipos.\n\nLos recursos legales se pueden adquirir de cualquiera, siempre y cuando tu organización sepa que existen.\n\nPara comprar o vender recursos ilegales en un <link=""businesses"">negocio</link> en particular, necesitas cierta <sprite name=""ui pip social""> <link=""relationships"">confianza</link>.\n\nPuedes comprobar los negocios conocidos que venden los recursos que tu organización ha descubierto en la <sprite name=""map resources HUD""> capa del mapa de recursos</link>.\n\nA medida que tu organización aprenda más <sprite name=""ui skills""> <link=""skills"">habilidades</link>, se cobre <sprite name=""ui tickets""> <link=""favors"">favores</link> o complete <sprite name=""ui quests""> <link=""missions"">misiones</link>, descubrirás que en la ciudad abundan los recursos y las oportunidades."	"Things that you buy and sell and use for production and construction. Resources come in several varieties.\n\nLegal resources are available to buy from anyone as long as your outfit knows about them.\n\nIllegal resources require a <sprite name=""ui pip social""> <link=""relationships"">level of trust</link> before they can be bought our sold with a particular <link=""businesses"">business</link>.\n\nYou can view which businesses that you know sell resources that your outfit has discovered in the <sprite name=""map resources HUD""> resource map overlay</link>.\n\nAs your outfit learns more <sprite name=""ui skills""> <link=""skills"">skills</link>, redeems <sprite name=""ui tickets""> <link=""favors"">favors</link> or completes <sprite name=""ui quests""> <link=""missions"">missions</link>, you'll discover that the city is full of resources and opportunities just waiting to be unlocked."
info.fake-beer.icon	"<sprite name=""res fake-beer"">"	"<sprite name=""res fake-beer"">"
info.fake-beer.name	Cerveza de trastienda	Backroom Beer
info.fake-beer.desc	"Una mezcla de cerveza casera con frutos de lúpulo que ofrece un sabor más provechoso.\n\nLa cerveza de trastienda es una imitación de mejor calidad de los productos que las grandes cervecerías hacían antes de la ley seca. Esta <link=""refined-booze"">bebida alcohólica refinada</link> se elabora en una <link=""production-fake-beer"">Operación de cerveza de trastienda</link> combinando <link=""hops"">frutos de lúpulo</link> con <link=""home-brew"">cerveza casera</link>, que después se envasa en <link=""small-bottles"">botellas pequeñas</link> para su envío a los clientes más sedientos. Con el conocimiento y las mejoras adecuadas, se puede elaborar a partir de <link=""barley"">cebada</link> y frutos de lúpulo en una <link=""production-fake-beer-upgraded"">Cervecería de trastienda</link>.\n\n<indent=15><b>Precio base\n<sprite name=""ui sell""> 25 $ por caja</b></indent>\n\n<i><indent=30>Quienquiera que consuma cerveza cae de inmediato en un profundo sueño. Quienes disfrutan de un descanso largo, no pecan. Quienes no pecan, ¡van al Cielo! Es decir, ¡a beber birra!</indent></i>\n<indent=40>—Martin Luther</indent>"	"Homemade beer meets hops to create a more profitable quaff.\n\nBackroom Beer is a better quality facsimile of what the big breweries were making before Prohibition began. This <link=""refined-booze"">refined booze</link> is made at a <link=""production-fake-beer"">Backroom Beer Operation</link> by combining <link=""hops"">hops</link> with <link=""home-brew"">homemade beer</link> and then packaging that up in <link=""small-bottles"">small bottles</link> to ship out to thirsty customers. With the proper knowledge and upgrades, it can also be made directly from <link=""barley"">barley</link> and hops in a <link=""production-fake-beer-upgraded"">Backroom Brewery</link>.\n\n<indent=15><b>Base Pricing\n<sprite name=""ui sell""> $25 per case</b></indent>\n\n<i><indent=30>Whoever drinks beer, he is quick to sleep; whoever sleeps long, does not sin; whoever does not sin, enters Heaven! Thus, let us drink beer!</indent></i>\n<indent=40>—Martin Luther</indent>"
info.fake-wine.icon	"<sprite name=""res fake-wine"">"	"<sprite name=""res fake-wine"">"
info.fake-wine.name	Vino falseado	Counterfeit Wine
info.fake-wine.desc	"Un vino de cartón embellecido (y más lucrativo).\n\nEn una <link=""production-fake-wine"">Operación de vino de trastienda</link>, pasa el <link=""brick-wine"">vino de cartón</link> de las vasijas a unas <link=""bottles"">botellas</link>, ponles <link=""labels"">etiquetas</link> y véndelo como <link=""refined-booze"">bebida alcohólica refinada</link> con un nombre francés que suene pomposo. Puede que los clientes sepan que es falso, pero pagarán igualmente. Con las habilidades y los materiales adecuados, se puede elaborar a partir de <link=""grapes"">uvas</link> en una <link=""production-fake-wine-upgraded"">Bodega de trastienda</link>. Vende el vino de cartón en otro lugar.\n\n<indent=15><b>Precio base\n<sprite name=""ui sell""> 28 $ por caja</b></indent>\n\n<i><indent=30>Elige: dame más vino o déjame en paz.</i></indent>\n<indent=40>—Rumi</indent>"	"This is a gussied-up (and more lucrative) brick wine.\n\nAt a <link=""production-fake-wine"">Backroom Wine Operation</link>, transfer your <link=""brick-wine"">brick wine</link> from its crocks into some <link=""bottles"">bottles</link>, slap a <link=""labels"">label</link> on them sell this <link=""refined-booze"">refined booze</link> as something with a fancy French name. Your customers may know it's fake, but they'll pay just the same. With the right skills and materials, you can also make it directly from <link=""grapes"">grapes</link> at a <link=""production-fake-wine-upgraded"">Backroom Winery</link>. And sell the brick wine elsewhere.\n\n<indent=15><b>Base price\n<sprite name=""ui sell""> $28 per case</b></indent>\n\n<i><indent=30>Either give me more wine or leave me alone.</i></indent>\n<indent=40>—Rumi</indent>"
info.sparkling-cider.icon	"<sprite name=""res sparkling-cider"">"	"<sprite name=""res sparkling-cider"">"
info.sparkling-cider.name	Sidra espumosa	Sparkling Cider
info.sparkling-cider.desc	"Añade azúcar a la sidra para darle más espuma y sacarle mayor partido.\n\nLa sidra espumosa es una <link=""refined-booze"">bebida alcohólica refinada</link> que surge de la adición de <link=""sugar"">azúcar</link> a la <link=""cider"">sidra</link> normal en una <link=""production-sparkling-cider"">Operación de sidra espumosa</link>. Se envasa en <link=""small-bottles"">botellas pequeñas</link> y se espera a que genere suficiente dióxido de carbono y surja espuma, pero sin que llegue a explotar. Con el conocimiento adecuado, se puede elaborar sidra espumosa a partir de <link=""apples"">manzanas</link> en una <link=""production-sparkling-cider-upgraded"">Operación de sidra espumosa</link>.\n\n<indent=15><b>Precio base\n<sprite name=""ui sell""> 25 $ por caja</b></indent>\n\n<i><indent=30>Dame el pan de ayer, la carne de hoy y la sidra del año pasado.</i></indent>\n<indent=40>—Benjamin Franklin</indent>"	"Use sugar to put extra profit and fizz into your hard cider.\n\nSparkling cider is a <link=""refined-booze"">refined booze</link> that is the result of adding some <link=""sugar"">sugar</link> to regular <link=""cider"">hard cider</link> at a <link=""production-sparkling-cider"">Sparkling Cider Operation</link>, putting it in <link=""small-bottles"">small bottles</link>, then waiting and hoping that enough carbon dioxide gets created to make your cider fizz. But not too much that makes them explode. With the right knowhow, you can upgrade to make sparkling cider directly from <link=""apples"">apples</link> at a <link=""production-sparkling-cider-upgraded"">Sparkling Cider Fermenter</link>.\n\n<indent=15><b>Base price\n<sprite name=""ui sell""> $25 per case</b></indent>\n\n<i><indent=30>Give me yesterday's bread, this day's flesh, and last year's cider.</i></indent>\n<indent=40>—Benjamin Franklin</indent>"
info.bathtub-gin.icon	"<sprite name=""res bathtub-gin"">"	"<sprite name=""res bathtub-gin"">"
info.bathtub-gin.name	Ginebra de bañera	Bathtub Gin
