KEY	Korean	English
__id	ko	en
__name	한국어	English

button.play	플레이
button.ok	확인
button.cancel	취소
button.loc	<sprite name="ui location">
button.close	닫기
button.continue	계속
button.install	설치
button.build	건설
button.start	시작
button.confirm	확인
button.decline	거절
button.dontshow	다시 보지 않기
button.endgame-continue	계속 플레이
button.throne	사무실로 가기


button.xclose	X
button.qmark	?
button.info	i
button.back	<<

autosave.filename	자동저장

	;; date/time
datetime.format.s.0	{month} {dayth}				;; August 1st
datetime.format.l.0	{month} {dayth}, {year}
datetime.format.s.1	{month} {day}				;; August 1
datetime.format.l.1	{month} {day}, {year}
datetime.format.s.2	{day} {month}				;; 1 August
datetime.format.l.2	{day} {month} {year}
datetime.min	N/A
datetime.max	N/A

datetime.month.1	1월
datetime.month.2	2월
datetime.month.3	3월
datetime.month.4	4월
datetime.month.5	5월
datetime.month.6	6월
datetime.month.7	7월
datetime.month.8	8월
datetime.month.9	9월
datetime.month.10	10월
datetime.month.11	11월
datetime.month.12	12월

datetime.month.short.1	1월
datetime.month.short.2	2월
datetime.month.short.3	3월
datetime.month.short.4	4월
datetime.month.short.5	5월
datetime.month.short.6	6월
datetime.month.short.7	7월
datetime.month.short.8	8월
datetime.month.short.9	9월
datetime.month.short.10	10월
datetime.month.short.11	11월
datetime.month.short.12	12월

datetime.day.1	1일
datetime.day.2	2일
datetime.day.3	3일
datetime.day.4	4일
datetime.day.5	5일
datetime.day.6	6일
datetime.day.7	7일
datetime.day.8	8일
datetime.day.9	9일
datetime.day.10	10일
datetime.day.11	11일
datetime.day.12	12일
datetime.day.13	13일
datetime.day.14	14일
datetime.day.15	15일
datetime.day.16	16일
datetime.day.17	17일
datetime.day.18	18일
datetime.day.19	19일
datetime.day.20	20일
datetime.day.21	21일
datetime.day.22	22일
datetime.day.23	23일
datetime.day.24	24일
datetime.day.25	25일
datetime.day.26	26일
datetime.day.27	27일
datetime.day.28	28일
datetime.day.29	29일
datetime.day.30	30일
datetime.day.31	31일

	;; ui dialogs

ui.check	<sprite name="ui check">
ui.cross	<sprite name="ui cross">
ui.dot	·
ui.clock	<sprite name="ui clock">
ui.iconline	{icon}<indent=20>{text}</indent>
ui.checkline-subitem	<indent=20><sprite name="ui check"></indent><indent=40>{text}</indent>
ui.crossline-subitem	<indent=20><sprite name="ui cross"></indent><indent=40>{text}</indent>
ui.convoline	{icon}<indent=40>{text}</indent>
ui.checkline	<sprite name="ui check"><indent=20>{text}</indent>
ui.crossline	<sprite name="ui cross"><indent=20>{text}</indent>
ui.cash	<sprite name="res cash">

ui.ticket	<sprite name="ui tickets">
ui.ticketsp	<sprite name="ui tickets special">
ui.affiliate	<sprite name="ui biz associate">
ui.affiliate.desc	제휴. 이 사람은 당신과 오랜 사업 관계를 유지해왔으며, 수년간 최소 {level}개의 호의를 빚져왔습니다.

ui.favors-avail	+{num} <sprite name="ui tickets"> 호의
ui.favors-avail.1	+{num} <sprite name="ui tickets"> 호의
ui.favors-accrued	<b>누적된 호의: {favors}</b>

ui.skill-favor	<sprite name="ui skills">

ui.crew-boss	<sprite name="ui boss">
ui.crew-captain	<sprite name="ui player captain">

ui.copicon	<sprite name="ui pip cops">
ui.copicon.paidyes	<sprite name="ui cop paid">
ui.copicon.paidno	<sprite name="ui cop not paid">
ui.copicon.waiting	<sprite name="ui cop not paid"> <sprite name="ui clock">

ui.heatlevel	<sprite name="ui heat level 0">
