KEY	Korean	English
__id	ko	en

		;; encyclopedia

pedia.dialog.title	금주법 백과사전	Prohibition Encyclopedia
pedia.dialog.default-text	자세한 내용을 보려면 왼쪽의 주제 중 하나를 선택하세요. 특정 주제에 대해 더 자세히 알아보려면 링크를 따르세요.	Select one of the topics on the left to learn more. Follow links to dig further into a topic.
pedia.dialog.entry	<b><size=120%>{name}</size></b>\n\n{desc}	<b><size=120%>{name}</size></b>\n\n{desc}

pedia.cat.resources	자원	Resources
pedia.cat.businesses	비즈니스 종류	Business Types
pedia.cat.skills	스킬	Skills
pedia.cat.gameplay	게임플레이	Gameplay
pedia.cat.gambling	도박	Gambling
pedia.cat.others	Other

		;; encyclopedia topics
		;; for a topic named "xyz" its lockey is "info.xyz.desc" 
		;; and (optional) icon is "info.xyz.icon" 
		;; all topics must be listed inside some category!

info.resources.name	자원
info.resources.desc	구매하고 판매하며 생산 및 건설에 사용하는 다양한 자원들이 있습니다. 자원은 여러 종류가 있습니다.\n\n합법적인 자원은 당신의 조직이 알고 있다면 누구에게나 구매할 수 있습니다.\n\n불법 자원은 특정 <link="businesses">사업체</link>와 거래할 수 있는 <sprite name="ui pip social"> <link="relationships">신뢰 수준</link>을 요구합니다.\n\n어떤 사업체가 자원을 판매하는지 확인하려면 <sprite name="map resources HUD"> 자원 지도 오버레이</link>에서 확인할 수 있습니다.\n\n당신의 조직이 더 많은 <sprite name="ui skills"> <link="skills">기술</link>을 배우고 <sprite name="ui tickets"> <link="favors">호의</link>를 교환하거나 <sprite name="ui quests"> <link="missions">임무</link>를 완료하면서, 도시는 자원과 기회로 가득 차 있음을 알게 될 것입니다.

info.fake-beer.icon	<sprite name="res fake-beer">
info.fake-beer.name	양조 맥주
info.fake-beer.desc	홈브루에 홉을 더해 더 수익성 있는 음료를 만듭니다.\n\n양조 맥주는 금주 전 대형 양조업체들이 만들던 맥주의 개선된 모사품입니다. 이 <link="refined-booze">정제된 술</link>은 <link="production-fake-beer">양조 맥주 작업장</link>에서 <link="hops">홉</link>과 <link="home-brew">홈브루</link>를 결합하여 만들어지며, 작은 병에 포장되어 갈증을 해소하는 고객에게 배송됩니다. 올바른 지식과 업그레이드가 있으면 <link="barley">보리</link>와 홉을 사용해 <link="production-fake-beer-upgraded">밀실 양조장</link>에서 직접 생산할 수도 있습니다.\n\n<indent=15><b>기본 가격\n<sprite name="ui sell"> $25 per case</b></indent>\n\n<i><indent=30>누구든 맥주를 마시면 금방 잠이 듭니다; 잠이 길면 죄를 짓지 않으며, 죄를 짓지 않으면 천국에 갑니다! 그러므로 우리는 맥주를 마십시다!</indent></i>\n<indent=40>—마르틴 루터</indent>

info.fake-wine.icon	<sprite name="res fake-wine">
info.fake-wine.name	양조 와인
info.fake-wine.desc	더 화려하고 더 수익성 있는 벽돌 와인입니다.\n\n<link="production-fake-wine">밀실 와인 작업장</link>에서 벽돌 와인을 <link="bottles">병</link>에 담고 라벨을 붙여 fancy한 프랑스 이름으로 판매합니다. 고객들이 가짜라는 것을 알지만 여전히 지불할 것입니다. 올바른 기술과 자재가 있으면 <link="grapes">포도</link>를 사용해 <link="production-fake-wine-upgraded">밀실 와인 양조장</link>에서 직접 만들 수도 있습니다.\n\n<indent=15><b>기본 가격\n<sprite name="ui sell"> $28 per case</b></indent>\n\n<i><indent=30>와인을 더 주세요, 아니면 나가세요.</i></indent>\n<indent=40>—루미</indent>

info.sparkling-cider.icon	<sprite name="res sparkling-cider">
info.sparkling-cider.name	스파클링 사이다
info.sparkling-cider.desc	당신의 하드 사이다에 당분을 추가하여 추가적인 수익과 기포를 넣으세요.\n\n스파클링 사이다는 <link="refined-booze">정제된 술</link>로, <link="sugar">설탕</link>을 추가하여 만든 하드 사이다입니다. 작은 병에 담아 이산화탄소가 충분히 생성되어 기포가 생기기를 기다립니다. 너무 많은 기포가 생기면 폭발할 위험이 있지만, 적당히 만들어내는 기술을 습득하고 <link="apples">사과</link>로 직접 만들기 위한 업그레이드도 가능합니다.\n\n<indent=15><b>기본 가격\n<sprite name="ui sell"> $25 per case</b></indent>\n\n<i><indent=30>어제의 빵, 오늘의 고기, 지난해의 사이다를 주세요.</i></indent>\n<indent=40>—벤자민 프랭클린</indent>

info.bathtub-gin.icon	<sprite name="res bathtub-gin">
info.bathtub-gin.name	양조 진
info.bathtub-gin.desc	향신료로 밀주를 칵테일에 적합한 술로 만듭니다.\n\n양조 진은 <link="refined-booze">정제된 술</link>로, 밀주와 <link="spices">향신료</link>를 섞어 작은 병에 담고 도시 곳곳의 비밀 클럽으로 유통됩니다. 올바른 기술이 있으면, <link="corn-syrup">옥수수 시럽</link>을 사용하여 <link="production-bathtub-gin-upgraded">양조 진 증류소</link>에서 밀주를 직접 만들 수 있습니다.\n\n<indent=15><b>기본 가격\n<sprite name="ui sell"> $24 per case</b></indent>\n\n<i><indent=30>저는 강한 자기 통제를 합니다. 아침식사 전에 진보다 강한 술은 마시지 않습니다.</i></indent>\n<indent=40>—W.C. Fields</indent>

info.moonshine.icon	<sprite name="res moonshine">
info.moonshine.name	밀주
info.moonshine.desc	중성 알콜이나 옥수수로 만든 강력한 음료.\n\n금주로 인해 사람들은 창의적으로 술을 만듭니다. 밀주는 <link="homemade-booze">양조주</link>로 <link="homebooze-moonshine">밀실 밀주 작업장</link>에서 중성 알콜의 불쾌한(그리고 독성이 강한) 첨가물을 증발시켜 만든 술입니다. 그 후 이 정제된 술은 <link="crocks">항아리</link> 단위로 판매됩니다.\n\n<indent=15><b>기본 가격\n<sprite name="ui sell"> $20 per crock</b></indent>\n\n<i><indent=30>금주는 술을 문을 뒤로 숨기게 하고 어두운 곳으로 몰아넣을 뿐, 치료하거나 줄이지는 않습니다.</i></indent>\n<indent=40>—마크 트웨인</indent>

info.brick-wine.icon	<sprite name="res brick-wine">
info.brick-wine.name	벽돌 와인
info.brick-wine.desc	캘리포니아에서 온 포도 벽돌이 벽돌 와인으로 변합니다.\n\n캘리포니아의 포도밭 주인들은 일관되게 모양이 동일한 건조된 <link="grape-juice">포도 벽돌</link> 벽돌을 전국에 보내고, 발효를 막는 구체적인 방법을 포함한 지침을 전달했습니다. 발효는 불법입니다. <link="crocks">스톤웨어 항아리</link>에 담아 <link="homebooze-brick-wine">밀실 벽돌 와인 작업장</link>에서 물과 섞으면 그 결과물인 <link="homemade-booze">양조주</link>을 판매할 수 있습니다.\n\n<indent=15><b>기본 가격\n<sprite name="ui sell"> $15 per crock</b></indent>\n\n<i><indent=30>와인은 가장 건강하고 위생적인 음료입니다.</i></indent>\n<indent=40>—루이 파스퇴르</indent>

info.cider.icon	<sprite name="res cider">
info.cider.name	하드 사이다
