Key	Russian	English
__id	ru	en
pedia.dialog.title	Энциклопедия сухого закона	Prohibition Encyclopedia
pedia.dialog.default-text	"Выберите интересующую вас тему в левой части. Чтобы узнать больше, переходите по ссылкам."	Select one of the topics on the left to learn more. Follow links to dig further into a topic.
pedia.dialog.entry	<b><size=120%>{name}</size></b>\n\n{desc}	<b><size=120%>{name}</size></b>\n\n{desc}
pedia.cat.resources	Ресурсы	Resources
pedia.cat.businesses	Виды предприятий	Business Types
pedia.cat.skills	Навыки	Skills
pedia.cat.gameplay	Игровой процесс	Gameplay
pedia.cat.others	Другое	Other
info.resources.name	Ресурсы	Resources
info.resources.desc	"Предметы, которые можно покупать и продавать, использовать в производстве и строительстве. Ресурсы бывают разных видов.\n\nРазрешённые (легальные) ресурсы можно приобрести у любого известного вашей группировке поставщика.\n\nЗапрещённые (нелегальные) ресурсы требуют определённого <sprite name=""ui pip social""> <link=""relationships"">уровня доверия</link>, иначе частное <link=""businesses"">предприятие</link> вам их не продаст и у вас их не купит.\n\nИзвестные вашей группировке предприятия и предлагаемые ими ресурсы показаны в <sprite name=""map resources HUD""> режиме карты «Ресурсы»</link>.\n\nПо мере того как ваша группировка совершенствует свои <sprite name=""ui skills""> <link=""skills"">навыки</link>, оказывает <sprite name=""ui tickets""> <link=""favors"">услуги</link> и выполняет <sprite name=""ui quests""> <link=""missions"">задания</link>, вы будете обнаруживать в своём городе всё новые, ранее недоступные вам возможности."	"Things that you buy and sell and use for production and construction. Resources come in several varieties.\n\nLegal resources are available to buy from anyone as long as your outfit knows about them.\n\nIllegal resources require a <sprite name=""ui pip social""> <link=""relationships"">level of trust</link> before they can be bought our sold with a particular <link=""businesses"">business</link>.\n\nYou can view which businesses that you know sell resources that your outfit has discovered in the <sprite name=""map resources HUD""> resource map overlay</link>.\n\nAs your outfit learns more <sprite name=""ui skills""> <link=""skills"">skills</link>, redeems <sprite name=""ui tickets""> <link=""favors"">favors</link> or completes <sprite name=""ui quests""> <link=""missions"">missions</link>, you'll discover that the city is full of resources and opportunities just waiting to be unlocked."
info.fake-beer.icon	"<sprite name=""res fake-beer"">"	"<sprite name=""res fake-beer"">"
info.fake-beer.name	Домашнее пиво	Backroom Beer
