﻿KEY	VALUE	COMMENTS
__id	en

	
am.adj.eth	American
am.noun.sing.m	American
am.noun.sing.f	American
am.noun.pl	Americans
am.flag	<sprite name="flag-us">

am.firstname.m	Robert
am.firstname.m	John
am.firstname.m	James
am.firstname.m	William
am.firstname.m	Charles
am.firstname.m	George
am.firstname.m	Joseph
am.firstname.m	Richard
am.firstname.m	Edward
am.firstname.m	Donald
am.firstname.m	Thomas
am.firstname.m	Frank
am.firstname.m	Harold
am.firstname.m	Paul
am.firstname.m	Raymond
am.firstname.m	Walter
am.firstname.m	Jack
am.firstname.m	Henry
am.firstname.m	Kenneth
am.firstname.m	Arthur
am.firstname.m	Albert
am.firstname.m	David
am.firstname.m	Harry
am.firstname.m	Eugene
am.firstname.m	Ralph
am.firstname.m	Howard
am.firstname.m	Carl
am.firstname.m	Willie
am.firstname.m	Louis
am.firstname.m	Clarence
am.firstname.m	Earl
am.firstname.m	Roy
am.firstname.m	Fred
am.firstname.m	Joe
am.firstname.m	Francis
am.firstname.m	Lawrence
am.firstname.m	Herbert
am.firstname.m	Leonard
am.firstname.m	Ernest
am.firstname.m	Alfred
am.firstname.m	Anthony
am.firstname.m	Stanley
am.firstname.m	Norman
am.firstname.m	Gerald
am.firstname.m	Daniel
am.firstname.m	Samuel
am.firstname.m	Bernard
am.firstname.m	Billy
am.firstname.m	Melvin
am.firstname.m	Marvin
am.firstname.m	Warren
am.firstname.m	Michael
am.firstname.m	Leroy
am.firstname.m	Russell
am.firstname.m	Leo
am.firstname.m	Andrew
am.firstname.m	Edwin
am.firstname.m	Elmer
am.firstname.m	Peter
am.firstname.m	Floyd
am.firstname.m	Lloyd
am.firstname.m	Ray
am.firstname.m	Frederick
am.firstname.m	Theodore
am.firstname.m	Clifford
am.firstname.m	Vernon
am.firstname.m	Herman
am.firstname.m	Clyde
am.firstname.m	Chester
am.firstname.m	Philip
am.firstname.m	Alvin
am.firstname.m	Lester
am.firstname.m	Wayne
am.firstname.m	Vincent
am.firstname.m	Gordon
am.firstname.m	Leon
am.firstname.m	Louis
am.firstname.m	Charlie
am.firstname.m	Glenn
am.firstname.m	Calvin
am.firstname.m	Martin
am.firstname.m	Milton
am.firstname.m	Lee
am.firstname.m	Jesse
am.firstname.m	Dale
am.firstname.m	Cecil
am.firstname.m	Bill
am.firstname.m	Harvey
am.firstname.m	Roger
am.firstname.m	Victor
am.firstname.m	Benjamin
am.firstname.m	Wallace
am.firstname.m	Ronald
am.firstname.m	Sam
am.firstname.m	Alan
am.firstname.m	Arnold
am.firstname.m	Willard
am.firstname.m	Gilbert
am.firstname.m	Edgar
am.firstname.m	Oscar

am.firstname.f	Mary
am.firstname.f	Dorothy
am.firstname.f	Helen
am.firstname.f	Betty
am.firstname.f	Margaret
am.firstname.f	Ruth
am.firstname.f	Virginia
am.firstname.f	Doris
am.firstname.f	Mildred
am.firstname.f	Francis
am.firstname.f	Elizabeth
am.firstname.f	Evelyn
am.firstname.f	Anna
am.firstname.f	Marie
am.firstname.f	Alice
am.firstname.f	Jean
am.firstname.f	Shirley
am.firstname.f	Barbara
am.firstname.f	Irene
am.firstname.f	Marjorie
am.firstname.f	Florence
