Key	Simplified Chinese	English
__id	zh	en
pedia.dialog.title	禁酒时期百科全书	Prohibition Encyclopedia
pedia.dialog.default-text	从左侧标题中选择一个，点击链接了解与这个标题有关的更多详情。	Select one of the topics on the left to learn more. Follow links to dig further into a topic.
pedia.dialog.entry	<b><size=120%>{name}</size></b>\n\n{desc}	<b><size=120%>{name}</size></b>\n\n{desc}
pedia.cat.resources	资源	Resources
pedia.cat.businesses	生意类型	Business Types
pedia.cat.skills	技能	Skills
pedia.cat.gameplay	游戏玩法	Gameplay
pedia.cat.others	其他	Other
info.resources.name	资源	Resources
info.resources.desc	"资源的种类有很多，可用于生产与建造，可进行购买和出售。\n\n合法资源可在任意帮派知晓的人物手中购买。\n\n非法资源需要<sprite name=""ui pip social""> <link=""relationships"">信任等级</link>才能通过特定<link=""businesses"">生意</link>进行购买和出售。\n\n你可以在<sprite name=""map resources HUD""> 资源地图信息栏</link>中查看帮派知晓的生意都在出售哪些资源。\n\n你的帮派可以通过学习更多<sprite name=""ui skills""> <link=""skills"">技能</link>，兑现<sprite name=""ui tickets""> <link=""favors"">人情</link>或完成<sprite name=""ui quests""> <link=""missions"">任务</link>，了解这座城市中等待你去解锁的资源和机会。"	"Things that you buy and sell and use for production and construction. Resources come in several varieties.\n\nLegal resources are available to buy from anyone as long as your outfit knows about them.\n\nIllegal resources require a <sprite name=""ui pip social""> <link=""relationships"">level of trust</link> before they can be bought our sold with a particular <link=""businesses"">business</link>.\n\nYou can view which businesses that you know sell resources that your outfit has discovered in the <sprite name=""map resources HUD""> resource map overlay</link>.\n\nAs your outfit learns more <sprite name=""ui skills""> <link=""skills"">skills</link>, redeems <sprite name=""ui tickets""> <link=""favors"">favors</link> or completes <sprite name=""ui quests""> <link=""missions"">missions</link>, you'll discover that the city is full of resources and opportunities just waiting to be unlocked."
info.fake-beer.icon	"<sprite name=""res fake-beer"">"	"<sprite name=""res fake-beer"">"
info.fake-beer.name	仿制啤酒	Backroom Beer
