KEY	VALUE	COMMENTS
__id	en
__name	English

button.play	Play
button.ok	OK
button.cancel	Cancel
button.loc	<sprite name="ui location">
button.close	Close
button.continue	Continue
button.install	Install
button.build	Build
button.start	Start
button.confirm	Confirm
button.decline	Decline
button.dontshow	Don't Show Again
button.endgame-continue	Keep Playing
button.throne	Go to Your Office


button.xclose	X
button.qmark	?
button.info	i
button.back	<<

autosave.filename	Autosave

	;; date/time
datetime.format.s.0	{month} {dayth}				;; August 1st
datetime.format.l.0	{month} {dayth}, {year}
datetime.format.s.1	{month} {day}				;; August 1
datetime.format.l.1	{month} {day}, {year}
datetime.format.s.2	{day} {month}				;; 1 August
datetime.format.l.2	{day} {month} {year}
datetime.min	N/A
datetime.max	N/A

datetime.month.1	January
datetime.month.2	February
datetime.month.3	March
datetime.month.4	April
datetime.month.5	May
datetime.month.6	June
datetime.month.7	July
datetime.month.8	August
datetime.month.9	September
datetime.month.10	October
datetime.month.11	November
datetime.month.12	December

datetime.month.short.1	JAN
datetime.month.short.2	FEB
datetime.month.short.3	MAR
datetime.month.short.4	APR
datetime.month.short.5	MAY
datetime.month.short.6	JUN
datetime.month.short.7	JUL
datetime.month.short.8	AUG
datetime.month.short.9	SEP
datetime.month.short.10	OCT
datetime.month.short.11	NOV
datetime.month.short.12	DEC

datetime.day.1	1st
datetime.day.2	2nd
datetime.day.3	3rd
datetime.day.4	4th
datetime.day.5	5th
datetime.day.6	6th
datetime.day.7	7th
datetime.day.8	8th
datetime.day.9	9th
datetime.day.10	10th
datetime.day.11	11th
datetime.day.12	12th
datetime.day.13	13th
datetime.day.14	14th
datetime.day.15	15th
datetime.day.16	16th
datetime.day.17	17th
datetime.day.18	18th
datetime.day.19	19th
datetime.day.20	20th
datetime.day.21	21st
datetime.day.22	22nd
datetime.day.23	23rd
datetime.day.24	24th
datetime.day.25	25th
datetime.day.26	26th
datetime.day.27	27th
datetime.day.28	28th
datetime.day.29	29th
datetime.day.30	30th
datetime.day.31	31st

	;; ui dialogs

ui.check	<sprite name="ui check">
ui.cross	<sprite name="ui cross">
ui.dot	�
ui.clock	<sprite name="ui clock">
ui.iconline	{icon}<indent=20>{text}</indent>
ui.checkline-subitem	<indent=20><sprite name="ui check"></indent><indent=40>{text}</indent>
ui.crossline-subitem	<indent=20><sprite name="ui cross"></indent><indent=40>{text}</indent>
ui.convoline	{icon}<indent=40>{text}</indent>
ui.checkline	<sprite name="ui check"><indent=20>{text}</indent>
ui.crossline	<sprite name="ui cross"><indent=20>{text}</indent>
ui.cash	<sprite name="res cash">

ui.ticket	<sprite name="ui tickets">
ui.ticketsp	<sprite name="ui tickets special">
ui.affiliate	<sprite name="ui biz associate">
ui.affiliate.desc	Affiliate. This person has a long history of doing business with you, and has owed you at least {level} favors over the years. 

ui.favors-avail	+{num} <sprite name="ui tickets"> favors
ui.favors-avail.1	+{num} <sprite name="ui tickets"> favor
ui.favors-accrued	<b>You have accrued: {favors}</b>

ui.skill-favor	<sprite name="ui skills">

ui.crew-boss	<sprite name="ui boss">
ui.crew-captain	<sprite name="ui player captain">

ui.copicon	<sprite name="ui pip cops">
ui.copicon.paidyes	<sprite name="ui cop paid">
ui.copicon.paidno	<sprite name="ui cop not paid">
ui.copicon.waiting	<sprite name="ui cop not paid"> <sprite name="ui clock">

ui.heatlevel	<sprite name="ui heat level 0">
ui.heatlevel.1	<sprite name="ui heat level 1">
ui.heatlevel.2	<sprite name="ui heat level 2">
