Key	Russian	English
__id	ru	en
am.adj.eth	Американский	American
am.noun.sing.m	Американец	American
am.noun.sing.f	Американка	American
am.noun.pl	Американцы	Americans
am.firstname.m	Роберт	Robert
am.firstname.m	Джон	John
am.firstname.m	Джеймс	James
am.firstname.m	Уильям	William
am.firstname.m	Чарльз	Charles
am.firstname.m	Джордж	George
am.firstname.m	Джозеф	Joseph
am.firstname.m	Ричард	Richard
am.firstname.m	Эдвард	Edward
am.firstname.m	Дональд	Donald
am.firstname.m	Томас	Thomas
am.firstname.m	Фрэнк	Frank
am.firstname.m	Гарольд	Harold
am.firstname.m	Пол	Paul
am.firstname.m	Реймонд	Raymond
am.firstname.m	Уолтер	Walter
am.firstname.m	Джек	Jack
am.firstname.m	Генри	Henry
am.firstname.m	Кеннет	Kenneth
am.firstname.m	Артур	Arthur
am.firstname.m	Альберт	Albert
am.firstname.m	Дэвид	David
am.firstname.m	Гарри	Harry
am.firstname.m	Юджин	Eugene
am.firstname.m	Ральф	Ralph
am.firstname.m	Говард	Howard
am.firstname.m	Карл	Carl
am.firstname.m	Уилли	Willie
am.firstname.m	Луис	Louis
am.firstname.m	Кларенс	Clarence
am.firstname.m	Эрл	Earl
am.firstname.m	Рой	Roy
am.firstname.m	Фред	Fred
am.firstname.m	Джо	Joe
am.firstname.m	Фрэнсис	Francis
am.firstname.m	Лоуренс	Lawrence
am.firstname.m	Герберт	Herbert
am.firstname.m	Леонард	Leonard
am.firstname.m	Эрнест	Ernest
am.firstname.m	Альфред	Alfred
am.firstname.m	Энтони	Anthony
am.firstname.m	Стэнли	Stanley
am.firstname.m	Норман	Norman
am.firstname.m	Джеральд	Gerald
am.firstname.m	Дэниел	Daniel
am.firstname.m	Самюэль	Samuel
am.firstname.m	Бернард	Bernard
am.firstname.m	Билли	Billy
am.firstname.m	Мелвин	Melvin
am.firstname.m	Марвин	Marvin
am.firstname.m	Уоррен	Warren
am.firstname.m	Майкл	Michael
am.firstname.m	Лирой	Leroy
am.firstname.m	Расселл	Russell
am.firstname.m	Лео	Leo
am.firstname.m	Эндрю	Andrew
am.firstname.m	Эдвин	Edwin
am.firstname.m	Элмер	Elmer
am.firstname.m	Питер	Peter
am.firstname.m	Флойд	Floyd
am.firstname.m	Ллойд	Lloyd
am.firstname.m	Рей	Ray
am.firstname.m	Фредерик	Frederick
am.firstname.m	Теодор	Theodore
am.firstname.m	Клиффорд	Clifford
am.firstname.m	Вернон	Vernon
am.firstname.m	Герман	Herman
am.firstname.m	Клайд	Clyde
am.firstname.m	Честер	Chester
am.firstname.m	Филип	Philip
am.firstname.m	Элвин	Alvin
am.firstname.m	Лестер	Lester
am.firstname.m	Уэйн	Wayne
am.firstname.m	Винсент	Vincent
am.firstname.m	Гордон	Gordon
am.firstname.m	Леон	Leon
am.firstname.m	Льюис	Lewis
am.firstname.m	Чарли	Charlie
am.firstname.m	Гленн	Glenn
am.firstname.m	Кельвин	Calvin
am.firstname.m	Мартин	Martin
am.firstname.m	Милтон	Milton
am.firstname.m	Ли	Lee
am.firstname.m	Джесси	Jesse
am.firstname.m	Дейл	Dale
am.firstname.m	Сесил	Cecil
am.firstname.m	Билл	Bill
am.firstname.m	Харви	Harvey
am.firstname.m	Роджер	Roger
am.firstname.m	Виктор	Victor
am.firstname.m	Бенджамин	Benjamin
am.firstname.m	Уоллес	Wallace
am.firstname.m	Рональд	Ronald
am.firstname.m	Сэм	Sam
am.firstname.m	Аллен	Allen
am.firstname.m	Арнольд	Arnold
am.firstname.m	Уиллард	Willard
am.firstname.m	Гилберт	Gilbert
am.firstname.m	Эдгар	Edgar
am.firstname.m	Оскар	Oscar
am.firstname.f	Мэри	Mary
am.firstname.f	Дороти	Dorothy
am.firstname.f	Хелен	Helen
am.firstname.f	Бетти	Betty
am.firstname.f	Маргарет	Margaret
am.firstname.f	Рут	Ruth
am.firstname.f	Вирджиния	Virginia
am.firstname.f	Дорис	Doris
am.firstname.f	Милдред	Mildred
am.firstname.f	Фрэнсис	Frances
am.firstname.f	Элизабет	Elizabeth
am.firstname.f	Эвелин	Evelyn
am.firstname.f	Анна	Anna
am.firstname.f	Мари	Marie
am.firstname.f	Элис	Alice
am.firstname.f	Джин	Jean
am.firstname.f	Ширли	Shirley
am.firstname.f	Барбара	Barbara
am.firstname.f	Айрин	Irene
