Key	German	English
__id	de	en
pedia.dialog.title	Enzyklopädie der Prohibition	Prohibition Encyclopedia
pedia.dialog.default-text	"Wähle eines der Themen auf der linken Seite, um mehr zu erfahren. Folge den Links, um ein Thema weiter zu vertiefen."	Select one of the topics on the left to learn more. Follow links to dig further into a topic.
pedia.dialog.entry	<b><size=120%>{name}</size></b>\n\n{desc}	<b><size=120%>{name}</size></b>\n\n{desc}
pedia.cat.resources	Ressourcen	Resources
pedia.cat.businesses	Geschäftsarten	Business Types
pedia.cat.skills	Fertigkeiten	Skills
pedia.cat.gameplay	Gameplay	Gameplay
pedia.cat.others	Andere	Other
info.resources.name	Ressourcen	Resources
info.resources.desc	"Dinge, die du kaufst und verkaufst und für die Produktion und den Bau verwendest. Ressourcen gibt es in verschiedenen Varianten.\n\nLegale Ressourcen"	"Things that you buy and sell and use for production and construction. Resources come in several varieties.\n\nLegal resources are available to buy from anyone as long as your outfit knows about them.\n\nIllegal resources require a <sprite name=""ui pip social""> <link=""relationships"">level of trust</link> before they can be bought our sold with a particular <link=""businesses"">business</link>.\n\nYou can view which businesses that you know sell resources that your outfit has discovered in the <sprite name=""map resources HUD""> resource map overlay</link>.\n\nAs your outfit learns more <sprite name=""ui skills""> <link=""skills"">skills</link>, redeems <sprite name=""ui tickets""> <link=""favors"">favors</link> or completes <sprite name=""ui quests""> <link=""missions"">missions</link>, you'll discover that the city is full of resources and opportunities just waiting to be unlocked."
info.fake-beer.icon	"<sprite name=""res fake-beer"">"	"<sprite name=""res fake-beer"">"
info.fake-beer.name	Hinterzimmerbier	Backroom Beer
info.fake-beer.desc	"Heimbräu trifft auf Hopfen und wird so zu einem noch profitableren Tropfen.\n\nHinterzimmerbier ist eine qualitativ höherwertige Nachbildung dessen, was die großen Brauereien vor der Prohibition hergestellt haben. Dieser <link=""refined-booze"">raffinierte Alkohol</link> wird in einer <link=""production-fake-beer"">Hinterzimmer-Bierbrauerei</link> produziert, indem <link=""hops"">Hopfen</link> und <link=""home-brew"">Heimbräu</link> kombiniert werden und anschließend in <link=""small-bottles"">kleine Flaschen</link> abgefüllt und an durstige Kunden geliefert wird. Mit dem entsprechenden wissen und einigen Aufwertungen, kann es auch direkt aus <link=""barley"">Gerste</link> und Hopfen in einer <link=""production-fake-beer-upgraded"">Hinterzimmerbrauerei</link> gewonnen werden.\n\n<indent=15><b>Basispreis\n<sprite name=""ui sell""> $25 pro Kasten</b></indent>\n\n<i><indent=30>Wer Bier trinkt, der schläft schnell; wer lange schläft, der sündigt nicht; wer nicht sündigt, kommt in den Himmel! So lasst uns Bier trinken!</indent></i>\n<indent=40>– Martin Luther</indent>"	"Homemade beer meets hops to create a more profitable quaff.\n\nBackroom Beer is a better quality facsimile of what the big breweries were making before Prohibition began. This <link=""refined-booze"">refined booze</link> is made at a <link=""production-fake-beer"">Backroom Beer Operation</link> by combining <link=""hops"">hops</link> with <link=""home-brew"">homemade beer</link> and then packaging that up in <link=""small-bottles"">small bottles</link> to ship out to thirsty customers. With the proper knowledge and upgrades, it can also be made directly from <link=""barley"">barley</link> and hops in a <link=""production-fake-beer-upgraded"">Backroom Brewery</link>.\n\n<indent=15><b>Base Pricing\n<sprite name=""ui sell""> $25 per case</b></indent>\n\n<i><indent=30>Whoever drinks beer, he is quick to sleep; whoever sleeps long, does not sin; whoever does not sin, enters Heaven! Thus, let us drink beer!</indent></i>\n<indent=40>—Martin Luther</indent>"
info.fake-wine.icon	"<sprite name=""res fake-wine"">"	"<sprite name=""res fake-wine"">"
info.fake-wine.name	Gefälschter Wein	Counterfeit Wine
