Key	French	English
__id	fr	en
pedia.dialog.title	Encyclopédie de la prohibition	Prohibition Encyclopedia
pedia.dialog.default-text	Sélectionnez un sujet sur la gauche pour en savoir plus. Suivez les liens pour approfondir un sujet.	Select one of the topics on the left to learn more. Follow links to dig further into a topic.
pedia.dialog.entry	<b><size=120%>{name}</size></b>\n\n{desc}	<b><size=120%>{name}</size></b>\n\n{desc}
pedia.cat.resources	Ressources	Resources
pedia.cat.businesses	Types de commerces	Business Types
pedia.cat.skills	Compétences	Skills
pedia.cat.gameplay	Gameplay	Gameplay
pedia.cat.others	Autres	Other
info.resources.name	Ressources	Resources
info.resources.desc	"Les ressources désignent les choses que vous achetez et vendez à des fins de production et de construction. Il existe plusieurs variétés de ressources.\n\nLes ressources licites sont disponibles à l’achat auprès des personnes connues de votre organisation.\n\nLes ressources illicites exigent un certain <sprite name=""ui pip social""><link=""relationships"">niveau de confiance</link> avant de pouvoir être achetées ou vendues auprès d’un <link=""businesses"">commerce</link>.\n\nVous pouvez voir quels commerces vendent des ressources parmi ceux que vous avez découverts à l’aide des <sprite name=""map resources HUD"">filtres de ressources de la carte</link>.\n\nÀ mesure que votre organisation apprend de nouvelles <sprite name=""ui skills""> <link=""skills""> compétences</link>, demande des <sprite name=""ui tickets""> <link=""favors"">faveurs</link> ou termine des <sprite name=""ui quests""> <link=""missions"">missions</link>, vous réaliserez à quel point la ville regorge de ressources et d’opportunités qui n’attendent qu’à être débloquées."	"Things that you buy and sell and use for production and construction. Resources come in several varieties.\n\nLegal resources are available to buy from anyone as long as your outfit knows about them.\n\nIllegal resources require a <sprite name=""ui pip social""> <link=""relationships"">level of trust</link> before they can be bought our sold with a particular <link=""businesses"">business</link>.\n\nYou can view which businesses that you know sell resources that your outfit has discovered in the <sprite name=""map resources HUD""> resource map overlay</link>.\n\nAs your outfit learns more <sprite name=""ui skills""> <link=""skills"">skills</link>, redeems <sprite name=""ui tickets""> <link=""favors"">favors</link> or completes <sprite name=""ui quests""> <link=""missions"">missions</link>, you'll discover that the city is full of resources and opportunities just waiting to be unlocked."
info.fake-beer.icon	"<sprite name=""res fake-beer"">"	"<sprite name=""res fake-beer"">"
info.fake-beer.name	Bière d’arrière-boutique	Backroom Beer
info.fake-beer.desc	"La bière artisanale s’associe au houblon pour créer une bibine plus rentable.\n\nLa bière d’arrière-boutique est une copie améliorée de ce que l’on pouvait attendre des brasseries d’avant le début de la prohibition. Cet <link=""refined-booze"">alcool raffiné</link> est réalisé dans une <link=""production-fake-beer"">fabrique de bière d’arrière-boutique</link> en mélangeant du <link=""hops"">houblon</link> à de la <link=""home-brew"">bière artisanale</link> et en versant le tout dans de <link=""small-bottles"">petites bouteilles</link> prêtes à être livrées aux clients assoiffés. Avec les bonnes connaissances et améliorations, elle peut également être fabriquée directement à partir d’<link=""barley"">orge</link> et de houblon dans une <link=""production-fake-beer-upgraded"">brasserie d’arrière-boutique</link>.\n\n<indent=15><b>Prix de base\n<sprite name=""ui sell""> 25 $ la caisse</b></indent>\n\n<i><indent=30>Celui qui boit de la bière s'endort vite ; celui qui dort longtemps ne commet aucun péché ; celui qui ne commet aucun péché a sa place au paradis ! De ce fait, buvons de la bière !</indent></i>\n<indent=40>—Martin Luther</indent>"	"Homemade beer meets hops to create a more profitable quaff.\n\nBackroom Beer is a better quality facsimile of what the big breweries were making before Prohibition began. This <link=""refined-booze"">refined booze</link> is made at a <link=""production-fake-beer"">Backroom Beer Operation</link> by combining <link=""hops"">hops</link> with <link=""home-brew"">homemade beer</link> and then packaging that up in <link=""small-bottles"">small bottles</link> to ship out to thirsty customers. With the proper knowledge and upgrades, it can also be made directly from <link=""barley"">barley</link> and hops in a <link=""production-fake-beer-upgraded"">Backroom Brewery</link>.\n\n<indent=15><b>Base Pricing\n<sprite name=""ui sell""> $25 per case</b></indent>\n\n<i><indent=30>Whoever drinks beer, he is quick to sleep; whoever sleeps long, does not sin; whoever does not sin, enters Heaven! Thus, let us drink beer!</indent></i>\n<indent=40>—Martin Luther</indent>"
info.fake-wine.icon	"<sprite name=""res fake-wine"">"	"<sprite name=""res fake-wine"">"
info.fake-wine.name	Vin contrefait	Counterfeit Wine
info.fake-wine.desc	"Une version améliorée (et plus rentable) du vin en brique.\n\nDans une <link=""production-fake-wine"">fabrique de vin d’arrière-boutique</link>, transvasez votre <link=""brick-wine"">vin en brique</link> d’un pot à une <link=""bottles"">bouteille</link>, collez-lui une <link=""labels"">étiquette</link> et vendez cet <link=""refined-booze"">alcool raffiné</link> sous un nom de vin français sophistiqué. Peut-être que vos clients ne seront pas dupes, mais ils ouvriront malgré tout leur portefeuille. Avec les bonnes connaissances et améliorations, il peut également être fabriqué directement à partir de <link=""grapes"">raisin</link> dans une <link=""production-fake-wine-upgraded"">cuverie d’arrière-boutique</link>. Allez vendre le vin en brique ailleurs.\n\n<indent=15><b>Prix de base\n<sprite name=""ui sell""> 28 $ la caisse</b></indent>\n\n<i><indent=30>Donnez-moi plus de vin, ou laissez-moi tranquille.</i></indent>\n<indent=40>—Rumi</indent>"	"This is a gussied-up (and more lucrative) brick wine.\n\nAt a <link=""production-fake-wine"">Backroom Wine Operation</link>, transfer your <link=""brick-wine"">brick wine</link> from its crocks into some <link=""bottles"">bottles</link>, slap a <link=""labels"">label</link> on them sell this <link=""refined-booze"">refined booze</link> as something with a fancy French name. Your customers may know it's fake, but they'll pay just the same. With the right skills and materials, you can also make it directly from <link=""grapes"">grapes</link> at a <link=""production-fake-wine-upgraded"">Backroom Winery</link>. And sell the brick wine elsewhere.\n\n<indent=15><b>Base price\n<sprite name=""ui sell""> $28 per case</b></indent>\n\n<i><indent=30>Either give me more wine or leave me alone.</i></indent>\n<indent=40>—Rumi</indent>"
info.sparkling-cider.icon	"<sprite name=""res sparkling-cider"">"	"<sprite name=""res sparkling-cider"">"
info.sparkling-cider.name	Cidre pétillant	Sparkling Cider
info.sparkling-cider.desc	"Utilisez du sucre pour rendre votre cidre plus rentable et plus pétillant.\n\nLe cidre pétillant est un <link=""refined-booze"">alcool raffiné</link> obtenu en ajoutant du <link=""sugar"">sucre</link> à du <link=""cider"">cidre</link> lambda dans une <link=""production-sparkling-cider"">fabrique de cidre pétillant</link>, lequel est ensuite versé dans de <link=""small-bottles"">petites bouteilles</link>. Ceci fait, il ne reste plus qu’à attendre et à espérer que le mélange génère suffisamment de dioxyde de carbone pour que le cidre se mette à pétiller, mais pas assez pour le faire exploser. Avec un peu de savoir-faire, vous pouvez améliorer votre opération pour pouvoir fabriquer du cidre pétillant directement à partir de <link=""apples"">pommes</link> grâce à un <link=""production-sparkling-cider-upgraded"">fermenteur de cidre pétillant</link>.\n\n<indent=15><b>Prix de base\n<sprite name=""ui sell""> 25 $ la caisse</b></indent>\n\n<i><indent=30>Donnez-moi le pain de la veille, la chair d’aujourd’hui et le cidre de l’année dernière.</i></indent>\n<indent=40>—Benjamin Franklin</indent>"	"Use sugar to put extra profit and fizz into your hard cider.\n\nSparkling cider is a <link=""refined-booze"">refined booze</link> that is the result of adding some <link=""sugar"">sugar</link> to regular <link=""cider"">hard cider</link> at a <link=""production-sparkling-cider"">Sparkling Cider Operation</link>, putting it in <link=""small-bottles"">small bottles</link>, then waiting and hoping that enough carbon dioxide gets created to make your cider fizz. But not too much that makes them explode. With the right knowhow, you can upgrade to make sparkling cider directly from <link=""apples"">apples</link> at a <link=""production-sparkling-cider-upgraded"">Sparkling Cider Fermenter</link>.\n\n<indent=15><b>Base price\n<sprite name=""ui sell""> $25 per case</b></indent>\n\n<i><indent=30>Give me yesterday's bread, this day's flesh, and last year's cider.</i></indent>\n<indent=40>—Benjamin Franklin</indent>"
info.bathtub-gin.icon	"<sprite name=""res bathtub-gin"">"	"<sprite name=""res bathtub-gin"">"
info.bathtub-gin.name	Gin amateur	Bathtub Gin
info.bathtub-gin.desc	"Avec quelques épices, votre moonshine prendra des airs de cocktail.\n\nGrâce à un <link=""production-bathtub-gin"">atelier de gin amateur</link>, cet <link=""refined-booze"">alcool raffiné</link> est concocté à partir d’un mélange de <link=""moonshine"">moonshine</link> et d’<link=""spices"">épices</link> mis dans de <link=""small-bottles"">petites bouteilles</link>, puis distribué dans les speakeasies de la ville. Avec quelques compétences supplémentaires, vous pouvez également apprendre à en fabriquer directement à partir de <link=""corn-syrup"">sirop de maïs</link> grâce à un <link=""production-bathtub-gin-upgraded"">alambic à gin amateur</link>, et utiliser votre moonshine à d’autres fins.\n\n<indent=15><b>Prix de base\n<sprite name=""ui sell""> 24 $ la caisse</b></indent>\n\n<i><indent=30>Je sais me contrôler. Le gin est la chose la plus forte que je m’autorise à boire avant le petit-déjeuner </i></indent>\n<indent=40>—W.C. Fields</indent>"	"Spices will turn your moonshine into something worthy of a cocktail.\n\nAt a <link=""production-bathtub-gin"">Bathtub Ginworks</link>, this <link=""refined-booze"">refined booze</link> is made when crocks of <link=""moonshine"">moonshine</link> are concocted with some <link=""spices"">spices</link>, put into <link=""small-bottles"">small bottles</link> and moved to speakeasies all over town. With some extra skills under your belt, you can also learn how to make it directly from <link=""corn-syrup"">corn syrup</link> at a <link=""production-bathtub-gin-upgraded"">Bathtub Gin Still</link> and put that moonshine to other uses.\n\n<indent=15><b>Base price\n<sprite name=""ui sell""> $24 per case</b></indent>\n\n<i><indent=30>I exercise strong self control. I never drink anything stronger than gin before breakfast.</i></indent>\n<indent=40>—W.C. Fields</indent>"
info.moonshine.icon	"<sprite name=""res moonshine"">"	"<sprite name=""res moonshine"">"
info.moonshine.name	Moonshine	Moonshine
info.moonshine.desc	"Réalisé à partir d’alcool neutre contenu dans des pots ou obtenu à partir de maïs, ce breuvage est pour le moins corsé.\n\nAvec la prohibition, chacun s’est vu forcé de redoubler de créativité en matière de spiritueux. Le <link=""moonshine"">moonshine</link> est un <link=""homemade-booze"">alcool artisanal</link> fabriqué dans une <link=""homebooze-moonshine"">fabrique de moonshine d’arrière-boutique</link> en évaporant les additifs désagréables (et toxiques) contenus dans l’<link=""neutral-alcohol"">alcool neutre</link> et en vendant le produit légèrement raffiné au <link=""crocks"">pot</link>.\n\n<indent=15><b>Prix de base\n<sprite name=""ui sell""> 20 $ le pot</b></indent>\n\n<i><indent=30>La prohibition ne fait que cacher l’ivrognerie, elle n’y remédie pas, ni ne la réduit.</i></indent>\n<indent=40>—Mark Twain</indent>"	"Made from neutral alcohol in crocks or from corn, a potent libation.\n\nProhibition has forced everyone into being creative with spirits. <link=""moonshine"">Moonshine</link> is <link=""homemade-booze"">homemade booze</link> made at a <link=""homebooze-moonshine"">Backroom Moonshine Operation</link> by evaporating off the unpleasant (and poisonous) additives in <link=""neutral-alcohol"">neutral alcohol</link> and then selling the slightly refined product by the <link=""crocks"">crock</link>.\n\n<indent=15><b>Base price\n<sprite name=""ui sell""> $20 per crock</b></indent>\n\n<i><indent=30>Prohibition only drives drunkenness behind doors and into dark places, and does not cure it or even diminish it.</i></indent>\n<indent=40>—Mark Twain</indent>"
info.brick-wine.icon	"<sprite name=""res brick-wine"">"	"<sprite name=""res brick-wine"">"
info.brick-wine.name	Vin en brique	Brick Wine
info.brick-wine.desc	"Des briques de concentré de raisin de Californie, transformées en pots de vin en brique.\n\nLes viticulteurs californiens se sont mis à inonder le reste du pays avec leurs briques de <link=""grape-juice"">concentré de raisin</link>, assorties de pointilleuses instructions pour éviter que le produit ne fermente, sous peine d’être illégal. Versez le liquide dans des <link=""crocks"">pots en grès</link> dans une <link=""homebooze-brick-wine"">fabrique de vin en brique d’arrière-boutique</link>, ajoutez de l’eau et voilà : votre <link=""homemade-booze"">alcool artisanal</link> est prêt à être vendu.\n\n<indent=15><b>Prix de base\n<sprite name=""ui sell""> 15 $ le pot</b></indent>\n\n<i><indent=30>Le vin est le plus sain et le plus hygiénique de tous les breuvages.</i></indent>\n<indent=40>—Louis Pasteur</indent>"	"Bricks of grape concentrate from California turned into crocks of brick Wine.\n\nVineyard owners in California started flooding the rest of the country with uniformly shaped bricks of dehydrated <link=""grape-juice"">grape concentrate</link> and some very specific instructions of what to do to prevent fermentation. That would be illegal. Just put it in <link=""crocks"">stoneware crocks</link> at a <link=""homebooze-brick-wine"">Backroom Brick Wine Operation</link> and mix with water and you're good to go sell the resulting <link=""homemade-booze"">homemade booze</link>.\n\n<indent=15><b>Base price\n<sprite name=""ui sell""> $15 per crock</b></indent>\n\n<i><indent=30>Wine is the most healthful and most hygienic of beverages.</i></indent>\n<indent=40>—Louis Pasteur</indent>"
info.cider.icon	"<sprite name=""res cider"">"	"<sprite name=""res cider"">"
info.cider.name	Cidre	Hard Cider
